,Cal_ID,SMILES,TC,RI,DC
0,PI615,*/C=C\*,1.4769999999999999,43.42615105,0.307321668
1,PI761,*C(C*)c1c(c(c(c(c1F)F)F)F)F,1.666,256.7107755,0.247598756
2,PI708,*C(C(*)(F)F)(c1c(c(c(c(c1F)F)F)F)F)F,1.626,355.8164838,0.374689314
3,PI669,*C(C*)C#N,1.636,164.3503082,0.347852967
4,PI73,*C(C*)C(=O)c1ccccc1,1.633,47.99965734,0.573236329
5,PI435,*C(C*)OC(=O)C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1.374,-12.40442448,0.149880398
6,PI510,*C(C*)OC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1.4180000000000001,0.927587872,0.148188116
7,PI1199,*C(C*)OC(=O)CCl,1.794,393.75919,0.35
8,PI459,*C1C(C(C(C1)C*)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N,1.4369999999999998,36.81607814,0.23532169600000002
9,PI741,*C(C*)C(=O)OCC(C(F)C(F)(F)F)(F)F,1.556,330.4006895,0.25991775300000003
10,PI778,*CC(*)(C)C(=O)OCCC,1.686,269.5098795,0.253248203
11,PI1154,*CC(*)C(=O)OCC(C)(C)C,1.828,381.2513538,0.5529999999999999
12,PI249,*CC(*)(C)C(=O)OCCC#N,1.5030000000000001,88.02738936,0.227307045
13,PI1057,*C(C*)(F)F,1.547,319.5097987,0.14675416
14,PI483,*CCCCCCCCC(=O)N*,1.46,80.44102526,0.21506511399999997
15,PI777,*NC(=O)Nc1ccc(cc1)Cc1ccc(cc1)*,1.696,256.14562689999997,0.272013483
16,PI372,*c1ccc(Sc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,1.495,21.67600506,0.218868603
17,PI439,*c1ccc(Cc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c(C)c2)cc1C,1.4380000000000002,39.03162733,0.217185653
18,PI321,*c1cccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c1,1.589,78.2963063,0.183250902
19,PI806,*c1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)c(C)c1,1.6030000000000002,165.0030738,0.214219488
20,PI1207,*c1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)nc1,1.781,396.4006638,0.361
21,PI1210,*c1ccc(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)cc1,1.817,382.2919798,0.391
