,ID,SMILES,RI,Tg,TC,MW_ratio,Mass_ave,K_bond_min,K_bond_ave,K_ang_ave,Theta0_ave,K_dih_max,K_dih_ave,VE1_A,AATS0d,AATS0Z,BalabanJ,HybRatio,SaasC,ETA_dBeta,IC1,IC3,MIC1,Mor14,SMR_VSA5,VSA_EState4,VSA_EState8,VR3_A,nN,AATS2d,ATSC1d,ATSC3d,Xch-6d,SlogP_VSA1,SMILES,Monomer_length,Mass_max,nH,ATSC2Z,ATSC5Z,AATSC0Z,AATSC2Z,BCUTd-1h,BCUTZ-1h,nHBDon,MIC0,Kier3,Mor02,Mor19,SMR_VSA1,SMR_VSA3
0,PI1,*CC*,1.512,-41.44497557,0.456184962,1,4.675666667,218.51,325.8166667,48.657,109.4233333,0.155555556,0.155555556,1.946497979,1.75,9.5,1.974744871,1,0,-2,1.5,1.5,6.5095,0.233768766,13.8474744,0,3.361111111,0.857303546,0,1.5,-0.5625,0.5625,0,0,*CC*,2.58,12.011,4,-22,0,5.5,-1.833333333,2.11109901,6.102019499,0,6.5095,4,13.56113063,0.20525243,0,0
1,PI2,*C(C*)C,1.491,-12.96125193,0.25877338,0.666666667,4.675666667,218.51,326.68,49.10316667,109.8361111,0.155555556,0.151604938,2.130986314,2,10.36363636,2.539538861,1,0,-2.5,1.867633891,2.845350937,11.81295352,0.393246019,20.26829602,0,4.0625,1.462082745,0,1.833333333,-0.52892562,0.520661157,0,0,*C(C*)C,2.6,12.011,6,-28.67768595,0,5.603305785,-1.593204775,3.021852895,6.150637926,0,6.621048632,4,19.22918677,0.421297504,0,0
2,PI3,*C(C*)CC,1.475,-17.6480475,0.264363289,0.5,4.675666667,218.51,327.04,48.95325,109.8029167,0.155555556,0.145555556,2.300795291,2,10.85714286,2.754184786,1,0,-3,1.950212065,3.182005815,13.53079071,0.675758669,26.68911765,0,4.023796296,1.99561491,0,1.916666667,0.489795918,-1.224489796,0,0,*C(C*)CC,2.65,12.011,8,-33.32653061,18.73469388,5.632653061,-1.388605442,3.025653949,6.168683235,0,6.66736214,3,21.92927943,0.350260658,0,0
3,PI4,*C(C*)CCC,1.467,-28.99417241,0.261130695,0.4,4.675666667,218.51,327.256,48.86633333,109.7853333,0.155555556,0.136,2.458386904,2,11.17647059,2.831819966,1,0,-3.5,1.898093374,3.4548224,13.48042183,0.923227034,33.10993927,0,4.012222222,2.461050343,0,2,0.501730104,-1.179930796,0,0,*C(C*)CCC,2.59,12.011,10,-39.32179931,-4.522491349,5.640138408,-1.310726644,3.025702943,6.178959158,0,6.690928202,3.84,24.75369323,0.82344307,0,0
4,PI5,*C(C*)C(C)C,1.456,31.31996965,0.234342233,0.4,4.675666667,218.51,327.256,49.20383333,109.766,0.155555556,0.136592593,2.45983181,2.117647059,11.17647059,3.144208207,1,0,-3.5,1.898093374,2.939829017,13.48042183,0.872534489,27.19203322,0,6.427222222,2.397727455,0,2.166666667,1.501730104,-3.062283737,0,0,*C(C*)C(C)C,2.76,12.011,10,-14.32179931,41.06574394,5.640138408,-0.47739331,3.113397379,6.196681383,0,6.690928202,2.666666667,25.66250602,0.81937576,0,0
5,PI6,*C(C*)CCCC,1.465,-49.00144451,0.275330549,0.333333333,4.675666667,218.51,327.4,48.80838889,109.7736111,0.29,0.133518519,2.604046806,2,11.4,2.862065598,1,0,-4,1.833206219,3.68418372,13.16337261,0.90884065,39.53076089,0,4.008880385,2.873759832,0,2.027777778,0.51,-0.15,0,0,*C(C*)CCCC,2.64,12.011,12,-46.04,-7.68,5.64,-1.278888889,3.025706413,6.185585552,0,6.704524917,5,27.49255188,1.036334798,0,0
6,PI7,*C(C*)CC(C)C,1.461,17.37783905,0.240918065,0.333333333,4.675666667,218.51,327.4,49.09216667,109.7594444,0.155555556,0.125185185,2.639317574,2.1,11.4,3.098828094,1,0,-4,1.970950594,3.246439345,14.8178203,0.661253421,33.61285484,0,6.395972222,2.769468097,0,2.222222222,0.51,-1.15,0,0,*C(C*)CC(C)C,2.61,12.011,12,-21.04,-28.48,5.64,-0.584444444,3.03462537,6.20110955,0,6.704524917,5,27.50236589,0.728571708,0,0
7,PI8,*C(C*)CCCCC,1.463,-42.65287993,0.27463839,0.285714286,4.675666667,218.51,327.5028571,48.767,109.7652381,0.29,0.131746032,2.738612788,2,11.56521739,2.876622595,1,0,-4.5,1.77125896,3.708132065,12.79767966,1.376461972,45.95158251,0,4.00857946,3.245276996,0,2.047619048,0.516068053,-0.128544423,0,0,*C(C*)CCCCC,2.6,12.011,14,-53.19092628,-6.412098299,5.63705104,-1.266450626,3.025708447,6.19025307,0,6.713071846,5.87755102,29.53295404,0.907994476,0,0
8,PI10,*C(C*)CCC(CC)C,1.461,-23.02833726,0.265949678,0.25,4.675666667,218.51,327.58,48.94879167,109.7483333,0.29,0.130555556,2.943761977,2.076923077,11.69230769,3.168174129,1,0,-5,1.902174814,4.026986833,14.68536883,1.342894563,46.45449809,0,6.41764503,3.395513398,0,2.1875,1.520710059,-0.958579882,0,0,*C(C*)CCC(CC)C,2.61,12.011,16,-35.62130178,8.733727811,5.633136095,-0.742110454,3.028175362,6.207948128,0,6.718790131,5.530864198,29.8809993,0.913274215,0,0
9,PI11,*C(C*)CCCCCCC,1.464,-32.11210406,0.3025418,0.222222222,4.675666667,218.51,327.64,48.71181481,109.7540741,0.29,0.129382716,2.977954286,2,11.79310345,2.894206463,1,0,-5.5,1.665966339,3.590571081,12.11514027,1.936005203,58.79322576,0,4.010883094,3.896382535,0,2.074074074,0.524375743,-0.099881094,0,0,*C(C*)CCCCCCC,2.65,12.011,18,-68.24256837,-4.794292509,5.62901308,-1.263751266,3.025712294,6.19656318,0,6.722801821,7.901234568,41.98903279,1.424155783,0,0
